obs_idx,matched_lat,matched_lon,edge_u,edge_v,edge_key,gps_to_road_distance_m
0,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.935436575579093
1,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.935397628237777
2,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.935802512370614
3,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.93654006990673
4,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.937389747237322
5,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.938143327267987
6,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.938638293589953
7,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.938872446770603
8,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.938942111865614
9,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.938877250988565
10,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.938750341667603
11,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.938539142744787
12,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.938169572174345
13,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.93770184096659
14,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.937265692884807
15,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.93684663140446
16,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.936487777901217
17,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.93620264591118
18,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.936034725123868
19,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.93592541663622
20,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.935778158689732
21,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.9355099174708
22,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.93509785715138
23,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.934503655362523
24,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.93384612584955
25,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.93319739189903
26,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.932527456112204
27,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.931812054256614
28,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.931046001273735
29,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.930254121655235
30,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.929479929848323
31,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.928724427529104
32,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.927952858618458
33,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.927211900872717
34,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.92653676041831
35,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.926011923005202
36,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.925695001139413
37,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.925557549072156
38,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.925599102423448
39,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.92576677233591
40,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.9260138652874
41,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.92629423247236
42,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.92649998512481
43,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.926551254843826
44,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.926509713548676
45,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.926430832785034
46,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.926348829938174
47,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.92620457216554
48,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.9259384379689
49,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.925566513368604
50,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.925162452849708
51,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.92482116595158
52,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.924562875114578
53,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.924337274030066
54,30.53001022338866,114.3563232421875,12803991867,6222270514,0,22.92414694715378
